,Ref,Title,Organization,Team_Name,Mapped_Team
0,I-359129,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
2,I-359110,CENTREON : The service Load on srv-prd-cs-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
3,I-359108,PRD~ABAP : Batch Job Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
4,I-359084,PRD~ABAP~srv-prd-as-4_PRD_40 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
13,I-358076,DEV~ABAP : Expiring ABAP certificates,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
14,I-358075,ITG~ABAP : Update Processing,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
15,I-358074,DEV~ABAP : Update Processing,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
16,I-358071,H4D00001 : Database Unavailable,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
17,I-358070,H4T00001 : Database Unavailable,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
21,I-357839,PRD~ABAP~srv-prd-as-2_PRD_20 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
29,I-357128,PRD~ABAP : Update Processing,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
30,I-357121,Alert of type [Version] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
41,I-356418,JOL~JAVA~srv-prd-solm1_JOL_02 : Java instance not available,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
51,I-355819,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
70,I-355023,H4P : Licensed Memory Usage,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
72,I-354889,srv-qua-db-1 : File System Full,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
73,I-354818,H4P : New OOM Trace Files,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
82,I-354676,SOL~ABAP~srv-prd-solm1_SOL_00 : Errors in ABAP System Log,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
86,I-354603,H4Q00001 : Database Unavailable,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
87,I-354600,H4Q00001 : Database Host Status,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
88,I-354599,H4Q00001 : Services Status,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
