,Ref,Title,Organization,Team_Name,Mapped_Team
0,I-359129,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
1,I-359128,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
2,I-359110,CENTREON : The service Load on srv-prd-cs-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
3,I-359108,PRD~ABAP : Batch Job Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
4,I-359084,PRD~ABAP~srv-prd-as-4_PRD_40 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
5,I-358946,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
6,I-358945,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
7,I-358547,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
8,I-358546,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
9,I-358349,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
10,I-358348,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
11,I-358139,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
12,I-358138,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
13,I-358076,DEV~ABAP : Expiring ABAP certificates,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
14,I-358075,ITG~ABAP : Update Processing,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
15,I-358074,DEV~ABAP : Update Processing,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
16,I-358071,H4D00001 : Database Unavailable,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
17,I-358070,H4T00001 : Database Unavailable,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
18,I-358014,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
19,I-358013,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
20,I-358002,CENTREON : The service Load on srv-prd-cs-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
21,I-357839,PRD~ABAP~srv-prd-as-2_PRD_20 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
22,I-357820,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
23,I-357819,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
24,I-357668,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
25,I-357667,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
26,I-357645,PRD~ABAP : Batch Job Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
27,I-357378,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
28,I-357377,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
29,I-357128,PRD~ABAP : Update Processing,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
30,I-357121,Alert of type [Version] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
31,I-357085,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
32,I-357084,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
33,I-357049,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
34,I-357048,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
35,I-356842,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
36,I-356841,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
37,I-356769,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
38,I-356768,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
39,I-356549,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
40,I-356548,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
